order_month,avg_delivery_days,avg_freight_value,total_orders,delivery_risk
2016-09,54.0,14.56,3,High Delay
2016-10,19.11,20.22,303,High Delay
2016-12,4.0,8.72,1,Low Delay
2017-01,12.1,17.65,782,High Delay
2017-02,12.63,19.98,1718,High Delay
2017-03,12.44,19.24,2606,High Delay
2017-04,14.31,19.58,2366,High Delay
2017-05,10.89,19.37,3615,High Delay
2017-06,11.49,19.53,3177,High Delay
2017-07,10.99,19.26,3911,High Delay
2017-08,10.47,19.11,4231,High Delay
2017-09,11.4,19.88,4186,High Delay
2017-10,11.28,19.74,4523,High Delay
2017-11,14.58,19.5,7377,High Delay
2017-12,14.8,18.97,5559,High Delay
2018-01,13.65,19.17,7152,High Delay
2018-02,16.48,18.62,6627,High Delay
2018-03,15.6,20.93,7124,High Delay
2018-04,10.87,20.41,6856,High Delay
2018-05,10.86,19.36,6776,High Delay
2018-06,8.65,22.24,6082,Medium Delay
2018-07,8.42,23.0,6188,Medium Delay
2018-08,7.25,20.49,6370,Medium Delay
2018-09,,21.46,1,Unknown
